time,s,i
0.0,0.99,0.01
0.01,0.989359753847655,0.010620036362182582
0.02,0.9885094900831317,0.011443443624267718
0.03,0.9875083542027719,0.012412930343364924
0.04,0.9865451699522134,0.01334563433752679
0.05,0.9857849383571426,0.014081784686173635
0.06,0.9849405396262698,0.014899415448382046
0.07,0.9835393882291967,0.0162561113891134
0.08,0.9825233984719434,0.017239820100692225
0.09,0.9816099074467922,0.018124256759728112
0.1,0.9801636747318477,0.01952444799526293
0.11,0.9787432623989796,0.02089957413099239
0.12,0.9772881214319854,0.022308254338596872
0.13,0.9760963187006352,0.023461947699191542
0.14,0.9743588620812776,0.025143779152963824
0.15,0.9726458909329354,0.026801811253211
0.16,0.970572029620113,0.028809041774056778
0.17,0.9689709658374457,0.03035855529390851
0.18,0.9659862944077893,0.03324696895582457
0.19,0.9632135357322286,0.03593002790260767
0.2,0.9601326747197434,0.038910935059516046
0.21,0.9578569139322074,0.04111262532900491
0.22,0.9560141910444273,0.04289522953997056
0.23,0.9528811504649478,0.04592585791780501
0.24,0.949539375906822,0.049158038058106056
0.25,0.9452904492750916,0.053267129564921474
0.26,0.9414257378734356,0.05700407893175068
0.27,0.935792320155559,0.06245049910260744
0.28,0.9305340635052896,0.0675331606803574
0.29,0.926194086067175,0.07172738924128395
0.3,0.9204838039212118,0.07724500516345487
0.31,0.9154408297148158,0.08211677272473819
0.32,0.9080598062753642,0.08924583342121845
0.33,0.9016101324632112,0.095473547946949
0.34,0.8963916234980939,0.10051118227536014
0.35000000000000003,0.8890820721116369,0.10756590812034736
0.36,0.8769700285609764,0.11925223016246461
0.37,0.8673014781858518,0.12857625086224964
0.38,0.8606844280934056,0.1349548800357998
0.39,0.8516881198884279,0.1436245474625444
0.4,0.8406631691262638,0.15424497255002512
0.41000000000000003,0.8301670373448913,0.164350931274918
0.42,0.8166682832020253,0.17734155145439062
0.43,0.8036021212162066,0.1899077337416519
0.44,0.7924626545641019,0.20061401545846613
0.45,0.7744865105110426,0.21788128761904862
0.46,0.7580010068142709,0.23370161253796895
0.47000000000000003,0.7406912455816589,0.25029774669930227
0.48,0.7274837783999993,0.2629479866261658
0.49,0.7092755428412294,0.2803740640418868
0.5,0.6932610986236116,0.2956829272101485
0.51,0.679757247800804,0.30857806749222255
0.52,0.6569679621148801,0.3303196774380361
0.53,0.6414427824895195,0.3451063707272735
0.54,0.6254014874114264,0.360366161227133
0.55,0.6074069145179272,0.3774615830724801
0.56,0.5888591393295081,0.3950551083819723
